NOMBRE,TIPO_ENTIDAD,RELACIONADO CON,TIPO_RELACION,PUESTO
"MINSA, S.A. de C.V.",empresa,,,
Grupo Minsa S.A.B. de C.V.,empresa,"MINSA, S.A. de C.V.",shareholder,
"LICONSA, S.A. de C.V.",empresa,,,
Margarita Del Rocio Ruiz Ramirez,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Andrés González Nieto,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Erics Ivan Ruíz Espinoza,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Othoniel Melchor Peña Montor,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Ignacio Cobos Huesca,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Claudia Galguera Aparicio,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Marco Antonio Sánchez Colín,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Carlos Zarate Chavez,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Gerónimo Color Gasca,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Luis Gendron Pensado,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Efrain Rivero Euan,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Juan José Díaz Rodríguez,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Geronimo Eduardo Corona Alcala,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Elizabeth Blackmore Smer,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Gerardo Piña Coronel,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Mónica Alejandra Martínez Duarte,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Jose Maria Jimenez Contreras,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Pedro Vazquez Vazquez,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Brendali Guadalupe Figueroa Flores,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Juan Jose Galguera García,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Carlos Aguilera Andrade,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
David Juvenal Saucedo Gonzalez,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Gabriela Ponce Medina,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Aleyda Lidoyne Jonguitud Austria,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Rosa Maria Vargas Cuellar,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Roberto Bravo Flores,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Sergio Martinez Burboa,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Karla Teresa Blancas Pizaña,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Marcos Pérez Jiménez,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Rubén Vega López,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Maria Del Carmen Narvaez Flores,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Julián Rosales Ramírez,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
Hugo Paz Sosa,persona,"LICONSA, S.A. de C.V.",boardmember,Responsible of Compranet
